period,wave,question_text,answer_text,demo_category,demo_value,percentage,n_size
אמצע שבוע,גל 19 במאי,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",כללי,סהכ,93.81,502
אמצע שבוע,גל 25 במאי,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",כללי,סהכ,95.53,505
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",גלים,חיבור שניהם,94.69,1007
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",מגדר,גברים,95.79,503
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",מגדר,נשים,93.51,504
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",גיל,18-29,92.96,254
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",גיל,30-49,93.75,392
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",גיל,50+,96.77,361
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",השכלה,נמוכה,92.39,108
אמצע שבוע,חיבור שני הגלים,"בשאלות הבאות נבקשך להתייחס לצפייה בטלוויזיה, הכוונה לצפייה ישירה בתכנים בטלוויזיה, ולא לצפייה בתכנים באמצעים אחרים כמו בדיגיטל (אתרי אינטרנט, רשתות חברתיות) ו/או צפייה מאוחרת/מוקלטת.האם צפית בטלוויזיה בשבוע האחרון לפחות 10 דקות? אם כן, באיזה ערוצים צפית?","סה""כ צופים",השכלה,בינונית,96.13,197
